rank,id,name,category,klass,evidenceType,evi,hum,imp,safe,overall,tier,mechanism,evidence,effect,human,safety,dose,status,accessibility,caveats,hallmarks,keyStudies,sources
22,hearing-aids,Hearing Aid Use,lifestyle,Sensory-restoration device (dementia-risk modification),human-rct-hard,70,60,55,95,69,A,"Restoring auditory input reduces effortful-listening cognitive load, reverses sensory deprivation, sustains social engagement and slows temporal-lobe atrophy","The ACHIEVE RCT (Lancet 2023, n=977) found a hearing intervention did NOT slow 3-year global cognitive decline overall, but in the prespecified higher-risk ARIC subgroup it slowed decline ~48%. This sits atop the Lancet Commission ranking hearing loss as the largest modifiable midlife dementia risk factor and a 31-study observational meta-analysis (HR 0.81). The primary RCT endpoint was null overall, so the benefit is a subgroup/observational signal.",High-risk RCT subgroup ~48% slower 3-yr cognitive decline; pooled observational HR 0.81 (0.76-0.87),"Mixed RCT (null primary, strong high-risk subgroup) + consistent observational cognition data",Essentially no risk; non-invasive; worst case minor discomfort/feedback/cost,"Daily wear of fitted hearing aids for adults with hearing loss; benefit greatest with earlier, consistent use",OTC hearing aids available without prescription in the US since Oct 2022,otc,The flagship RCT's primary endpoint was null in the full cohort — the 48% benefit is a high-risk subgroup finding; most supporting data are observational,Altered intercellular communication; Chronic inflammation,"Lin et al. (ACHIEVE), Lancet 2023 — 3-yr cognition: full cohort null; high-risk ARIC subgroup ~48% slower decline (diff 0.191, 95% CI 0.022-0.360) [https://pubmed.ncbi.nlm.nih.gov/37478886/] | Yeo et al. meta-analysis (31 studies, n=137,484), JAMA Neurol 2023 — Hearing-device use: cognitive decline HR 0.81 (95% CI 0.76-0.87) [https://jamanetwork.com/journals/jamaneurology/fullarticle/2799139]",https://pubmed.ncbi.nlm.nih.gov/37478886/ | https://jamanetwork.com/journals/jamaneurology/fullarticle/2799139
23,coq10-ubiquinol,CoQ10 / Ubiquinol,supplement,Mitochondrial electron carrier,human-rct-hard,70,68,48,88,68,A,Electron-transport-chain cofactor and lipid-phase antioxidant,"Standout is KiSel-10: CoQ10 200 mg + selenium for 4 years roughly halved cardiovascular mortality in elderly Swedes, persisting at 12-year follow-up. Combined with selenium (confound) and strongest in deficient/older/cardiac populations.","CV mortality HR 0.51 (95% CI 0.36-0.74), ~49% lower (5.9% vs 12.6%), with CoQ10 200mg + selenium 200ug/d in selenium-low elderly — KiSel-10 (Alehagen 2013), n=443","Positive hard-outcome RCTs (elderly/HF), but bundled with selenium",Very safe; mild GI; interacts with warfarin,100-200 mg/day (ubiquinol better absorbed),OTC supplement,otc,Flagship benefit came combined with selenium in a likely-deficient cohort,Mitochondrial dysfunction; Chronic inflammation; Altered intercellular communication,"Alehagen et al., KiSel-10 — CoQ10+selenium cut CV mortality ~50% (HR 0.51), persisting 12 yr [https://doi.org/10.1371/journal.pone.0193120] | Q-SYMBIO, JACC HF 2014 — CoQ10 reduced major cardiac events in heart failure [https://doi.org/10.1016/j.jchf.2014.06.008]",https://doi.org/10.1371/journal.pone.0193120 | https://doi.org/10.1016/j.jchf.2014.06.008
24,menopausal-hormone-therapy,Menopausal Hormone Therapy,hormone,Sex steroid hormone,human-rct-hard,80,78,45,62,68,A,"Replaces declining estrogen (with progestogen to protect the endometrium); ER signaling across bone, vasculature, brain","The 'timing hypothesis' (WHI re-analyses, ELITE) holds that starting MHT near menopause (<60y) is associated with lower all-cause mortality and possibly reduced coronary risk, whereas late initiation raises stroke/VTE risk. It is the most effective treatment for vasomotor symptoms and prevents fractures; the longevity signal is associational.",Best therapy for hot flushes; reduces fractures; possible mortality benefit if started early,Large RCTs + cohorts; favorable for symptomatic women starting near menopause,"Small absolute increases in breast cancer (combined oral), VTE, stroke; transdermal lowers VTE risk",Lowest effective dose (transdermal estradiol + progesterone if uterus),Approved for vasomotor symptoms/osteoporosis,rx,Window-of-opportunity matters; not a blanket anti-aging therapy; real (if small) risks,Altered intercellular communication; Chronic inflammation; Stem cell exhaustion,"Manson et al., WHI, JAMA 2017 — No increase in all-cause/CV/cancer mortality over 18 yr [https://doi.org/10.1001/jama.2017.11211] | Hodis et al., ELITE, NEJM 2016 — Early estradiol slowed carotid IMT; late did not [https://doi.org/10.1056/NEJMoa1505241]",https://doi.org/10.1001/jama.2017.11211 | https://doi.org/10.1056/NEJMoa1505241
25,sauna-finnish-dry-heat,Finnish Sauna Bathing,thermal,Passive heat exposure / hormesis,human-cohort,64,70,55,82,67,B,"Heat stress induces heat-shock proteins, improves endothelial function, lowers BP — a mild cardiovascular load","The Finnish KIHD cohort links 4-7 sauna sessions/wk to ~40% lower all-cause and sharply lower cardiovascular/sudden-cardiac mortality. But the one controlled trial (8 weeks, CAD patients) was NULL on vascular surrogates, so causality and healthy-user bias remain unresolved.","All-cause mortality HR 0.60 (95% CI 0.46-0.80) at 4-7 sessions/wk vs 1/wk; fatal CVD HR 0.50 (95% CI 0.33-0.77) — Laukkanen JAMA Intern Med 2015 (KIHD, n=2,315 men); RCT surrogate data ~null",Strong cohorts; only RCT negative on vascular surrogates,"Generally safe; dehydration, orthostatic hypotension, caution with unstable cardiac disease","4-7 sessions/wk, ~15-20 min at ~80-100C",Lifestyle / investigational,lifestyle,Cohort benefit likely confounded by healthy-user bias; the one RCT showed no vascular benefit,Loss of proteostasis; Altered intercellular communication; Chronic inflammation,"Laukkanen et al., JAMA IM 2015 (KIHD) — 4-7/wk vs 1/wk: ~40% lower all-cause mortality [https://pubmed.ncbi.nlm.nih.gov/25705824/] | Lee/Laukkanen, J Appl Physiol 2023 RCT — No change in FMD/BP/stiffness in CAD (null) [https://doi.org/10.1152/japplphysiol.00322.2023]",https://pubmed.ncbi.nlm.nih.gov/25705824/ | https://doi.org/10.1152/japplphysiol.00322.2023
26,coffee,Coffee / Caffeine,diet,Polyphenol-rich beverage (chlorogenic acids + caffeine),human-cohort,64,68,50,90,67,B,"Chlorogenic acids and caffeine act as antioxidants, activate AMPK/autophagy and suppress NF-kB inflammation while improving glucose/lipid metabolism","Very large prospective cohorts (EPIC ~521k; UK Biobank ~498k) and a 40-study dose-response meta-analysis (~3.85M) consistently show ~10-18% lower all-cause mortality at ~3-4 cups/day, with decaffeinated coffee showing similar benefit (implicating non-caffeine compounds). All evidence is observational, so residual confounding and reverse causation can't be excluded; no long-term mortality RCT exists.","~12-18% lower all-cause mortality at ~3-4 cups/day (RR 0.85, 95% CI 0.82-0.89); observational","Large, consistent observational mortality evidence across continents; not proven causal","Safe for most adults up to ~400 mg caffeine/day; caveats: pregnancy (<=200 mg/day), anxiety/insomnia, unfiltered coffee raises LDL via cafestol","~3-4 cups/day, preferably filtered (the dose-response nadir)","Strong, widely-accepted observational evidence; likely modest net benefit at moderate intake",otc,"Entirely observational — coffee drinkers differ systematically and the ill cut back (reverse causation), so causality is unestablished",Chronic inflammation; Deregulated nutrient sensing; Mitochondrial dysfunction,"Kim, Je & Giovannucci, Eur J Epidemiol 2019 (40-study meta, 3.85M) — All-cause mortality nadir at ~3.5 cups/day RR 0.85 (95% CI 0.82-0.89) [https://pubmed.ncbi.nlm.nih.gov/31055709/] | Loftfield et al. (UK Biobank, n=498,134), JAMA Intern Med 2018 — 2-3 cups/day HR 0.88 (95% CI 0.84-0.93); decaf also inverse; independent of caffeine-metabolism genotype [https://pmc.ncbi.nlm.nih.gov/articles/PMC6143111/]",https://pubmed.ncbi.nlm.nih.gov/31055709/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC6143111/
27,tirzepatide,Tirzepatide,pharma,GIP/GLP-1 dual agonist,human-rct-surrogate,68,70,52,66,65,B,Co-agonizes GIP and GLP-1 receptors for greater weight loss and glycaemic control,"Produces the largest pharmacological weight loss yet (~22.5% in SURMOUNT-1) and broad cardiometabolic improvement; the dedicated morbidity/mortality trial (SURMOUNT-MMO) is ongoing, so hard aging-relevant outcomes are not yet read out.",Up to ~22.5% weight loss; mortality data pending,Strong surrogate data; morbidity/mortality trial not yet reported,"GI effects, pancreatitis/gallbladder risk, lean-mass loss, weight regain; rodent thyroid signal",2.5-15 mg SC weekly,FDA-approved (diabetes/obesity),rx,Hard-outcome/mortality data pending; no aging-endpoint trial; muscle-loss concern,Deregulated nutrient sensing; Chronic inflammation; Altered intercellular communication,"SURMOUNT-1, NEJM 2022 — Up to 22.5% weight loss over 72 weeks [https://doi.org/10.1056/NEJMoa2206038] | SURPASS-CVOT, 2025 — Non-inferior to dulaglutide for MACE (HR ~0.92) [https://doi.org/10.1056/NEJMoa2505928]",https://doi.org/10.1056/NEJMoa2206038 | https://doi.org/10.1056/NEJMoa2505928
28,ace-inhibitors-arbs,ACE Inhibitors / ARBs,pharma,Renin-angiotensin inhibitors,animal-itp,70,68,45,72,64,B,"Block angiotensin-II signaling, lowering BP and RAS-driven oxidative stress, fibrosis and inflammation","Unusual breadth: RAS inhibition extends lifespan from worms to rats (ramipril ~doubled hypertensive-rat lifespan), captopril was a positive ITP hit, and ACEi/ARBs cut CV mortality in high-risk humans (HOPE). No trial in healthy normotensives.",Up to ~2x lifespan in hypertensive rats; human all-cause HR ~0.84 (high-risk),CV mortality benefit in high-risk groups; no healthy-aging trial,"ACEi: cough, hyperkalaemia, angioedema; ARBs better tolerated; both contraindicated in pregnancy",Disease-based dosing,FDA-approved (hypertension/HF/CKD),rx,Human mortality data in diseased groups; lifespan benefit in healthy people untested,Altered intercellular communication; Chronic inflammation; Mitochondrial dysfunction,"Strong et al., ITP 2022 — Captopril +4-5% female mouse lifespan [https://doi.org/10.1111/acel.13724] | HOPE, NEJM 2000 — Ramipril cut all-cause mortality HR 0.84 in high-risk patients [https://doi.org/10.1056/NEJM200001203420301]",https://doi.org/10.1111/acel.13724 | https://doi.org/10.1056/NEJM200001203420301
29,nicotinamide,Nicotinamide (NAM),nad,NAD+ precursor (vitamin B3 amide),human-rct-hard,72,65,35,80,64,B,Salvaged directly to NAD+ via NAMPT; at high doses inhibits sirtuins/PARPs,"Unusual for a positive hard-outcome RCT — but for skin-cancer prevention, not aging: ONTRAC showed 500 mg twice daily cut new non-melanoma skin cancers 23% in high-risk patients. Reflects DNA-repair/energy support in skin; a later transplant trial was negative.",23% fewer non-melanoma skin cancers (hard endpoint); not an established longevity effect,Strong cancer-prevention RCT; not shown to extend healthspan,Very safe at 500 mg x2/day (no flushing); very high doses risk hepatotoxicity/sirtuin inhibition,500 mg twice daily (skin cancer),OTC vitamin; used in dermatology,otc,"Proven benefit is skin-cancer prevention, not anti-aging; high doses inhibit sirtuins",Genomic instability; Deregulated nutrient sensing; Mitochondrial dysfunction,"Chen et al., NEJM 2015 (ONTRAC) — -23% non-melanoma skin cancer over 12 months [https://www.nejm.org/doi/full/10.1056/NEJMoa1506197]",https://www.nejm.org/doi/full/10.1056/NEJMoa1506197
30,trt,Testosterone Replacement Therapy,hormone,Androgen (steroid hormone),human-rct-hard,80,75,35,55,64,B,"Restores serum testosterone via androgen-receptor signaling; affects muscle, bone, libido, erythropoiesis","The large TRAVERSE RCT found TRT non-inferior to placebo for major cardiac events in hypogonadal men, settling a CV-safety question — but with MORE atrial fibrillation, AKI, PE and (unexpectedly) fractures. It improves libido/lean mass/BMD in true deficiency, but there is NO evidence it extends lifespan and it should not be an anti-aging tonic in men with normal testosterone.",Clear gains in hypogonadism; no longevity benefit; net harms in higher-risk older men,Definitive large RCT; CV-safe at replacement doses but not life-extending,"Erythrocytosis, atrial fibrillation, fracture/PE risk, infertility, sleep-apnea worsening",Replacement to mid-normal range,Rx for diagnosed hypogonadism,rx,"Benefit only in true deficiency, with real adverse effects and no survival gain",Altered intercellular communication; Stem cell exhaustion,"Lincoff et al., TRAVERSE, NEJM 2023 (n=5,246) — MACE non-inferior to placebo; more atrial fibrillation, AKI and PE [https://pubmed.ncbi.nlm.nih.gov/37326322/] | TRAVERSE Fracture sub-trial, NEJM 2024 — More clinical fractures on testosterone (3.5% vs 2.5%) [https://pubmed.ncbi.nlm.nih.gov/38231621/]",https://pubmed.ncbi.nlm.nih.gov/37326322/ | https://pubmed.ncbi.nlm.nih.gov/38231621/
31,zoledronate,Zoledronate / Bisphosphonates,pharma,Bisphosphonate (osteoclast inhibitor),human-rct-hard,74,62,50,62,63,B,Inhibits bone resorption; emerging senolytic/senomorphic and DNA-damage-resilience effects,"Beyond fracture prevention, annual zoledronic acid cut mortality 28% after hip fracture (HORIZON-RFT) — more than fracture reduction explains, prompting geroscience interest, with preclinical senolytic activity now reported. Mortality signal is in frail post-fracture patients.",All-cause mortality -28% post-fracture; senolytic effects preclinical,"Hard-outcome mortality benefit, but only in frail post-fracture patients","Acute flu-like reaction, hypocalcaemia; rare jaw osteonecrosis/atypical fractures",5 mg IV once yearly,FDA-approved (osteoporosis); experimental as senolytic,clinic-only,Mortality data confined to post-fracture cohort; senolytic mechanism preclinical,Cellular senescence; Chronic inflammation; Stem cell exhaustion; Genomic instability,"HORIZON-RFT, NEJM 2007 — Annual zoledronate cut all-cause mortality 28% post-hip-fracture [https://doi.org/10.1056/NEJMoa074941] | Samakkarnthai et al., Aging 2023 — Selectively killed senescent cells, lowered SASP, improved grip in aged mice [https://doi.org/10.18632/aging.204701]",https://doi.org/10.1056/NEJMoa074941 | https://doi.org/10.18632/aging.204701
32,urolithin-a,Urolithin A,supplement,Gut-microbial metabolite (mitophagy),human-rct-surrogate,60,62,45,88,63,B,"Induces mitophagy (clearance of damaged mitochondria), improving mitochondrial quality","One of the better-evidenced novel geroprotectors at the biomarker level: RCTs show improved muscle mitophagy gene expression, ~12% strength/endurance gains, and (2025) shifts toward less-exhausted T cells. Surrogate-only; ~60% of people can't make UA from diet, hence supplementation.",~10-12% muscle strength/endurance; immune-aging marker shifts,Several RCTs on muscle/immune surrogates; no hard outcomes,Well tolerated to 1000 mg/d,500-1000 mg/day (Mitopure),FDA GRAS; branded supplement,otc,Surrogate-only and partly industry-funded; no lifespan data,Mitochondrial dysfunction; Disabled macroautophagy; Chronic inflammation,"Singh/Liu et al., Cell Rep Med 2022 — ~12% muscle-strength gain, improved endurance & mitophagy markers [https://doi.org/10.1016/j.xcrm.2022.100633] | D'Amico et al., Nature Aging 2025 — Reduced markers of immune aging [https://doi.org/10.1038/s43587-025-00996-x]",https://doi.org/10.1016/j.xcrm.2022.100633 | https://doi.org/10.1038/s43587-025-00996-x
33,mind-diet,MIND Diet,diet,Hybrid brain-targeted pattern,human-rct-hard,60,62,40,92,63,B,"Combines Mediterranean + DASH (leafy greens, berries, nuts) to reduce neuroinflammation and vascular damage","Cohorts linked high adherence to ~35-53% slower cognitive decline, but the definitive 3-year RCT (NEJM 2023) found no cognitive/MRI advantage over a mild-CR control. Strong observational signal not confirmed by RCT; the diet remains healthy and low-risk.",Observational dementia-risk reduction; RCT null on cognition,Strong cohort data contradicted by a null definitive RCT,Very safe; nutrient-dense,"Daily leafy greens, berries, nuts, whole grains, fish",Healthy pattern (RCT-null),lifestyle,Definitive RCT was null; observational benefit likely confounded by healthy lifestyle,Chronic inflammation; Altered intercellular communication; Mitochondrial dysfunction,"Barnes et al., NEJM 2023 — No significant cognitive advantage vs control over 3 years [https://www.nejm.org/doi/full/10.1056/NEJMoa2302368] | Morris et al., 2015 (cohort) — ~53% lower Alzheimer's incidence (observational) [https://doi.org/10.1016/j.jalz.2014.11.009]",https://www.nejm.org/doi/full/10.1056/NEJMoa2302368 | https://doi.org/10.1016/j.jalz.2014.11.009
34,metformin,Metformin,pharma,Biguanide,human-cohort,66,60,42,80,62,B,"AMPK activation, complex-I inhibition, improved insulin sensitivity, microbiome effects",Decades of safe use and provocative cohort signals (diabetics on metformin sometimes outliving non-diabetics) motivate the TAME geroprotection trial — still only partially funded. Notably it FAILED to extend lifespan in the ITP and may blunt exercise adaptations.,No lifespan extension in ITP mice; human benefit only shown in diabetics,Large diabetes cohorts; TAME RCT pending; unproven in non-diabetics,"Very safe; GI upset, B12 depletion, rare lactic acidosis",500-2000 mg/day,FDA-approved (diabetes); off-label for longevity,rx,May attenuate exercise/muscle gains; geroprotection in healthy people unproven; ITP-negative,Deregulated nutrient sensing; Mitochondrial dysfunction; Chronic inflammation,"Bannister et al., Diab Obes Metab 2014 — Metformin-treated diabetics had lower mortality than matched non-diabetics (confounded) [https://doi.org/10.1111/dom.12354] | MASTERS, Aging Cell 2019 — Metformin blunted resistance-training muscle gains in older adults [https://doi.org/10.1111/acel.13039]",https://doi.org/10.1111/dom.12354 | https://doi.org/10.1111/acel.13039
35,canakinumab,Canakinumab,pharma,Anti-IL-1b monoclonal antibody,human-rct-hard,80,70,42,45,62,B,"Neutralizes IL-1b, blocking a key driver of inflammaging and the senescent-cell SASP",CANTOS is proof-of-concept that targeting inflammaging improves human outcomes: IL-1b inhibition cut recurrent CV events independent of lipids and reduced lung-cancer mortality. But it did NOT reduce all-cause mortality (fatal infections offset benefits) and is costly/immunosuppressive.,MACE -15%; lung-cancer mortality reduced; all-cause mortality unchanged,"Hard-outcome RCT validating anti-inflammaging, but no all-cause benefit","Increased fatal infections/sepsis, neutropenia; potent immunosuppression",150 mg SC every 3 months,FDA-approved (auto-inflammatory syndromes),clinic-only,No all-cause mortality benefit; infection risk and high cost preclude broad use,Chronic inflammation; Altered intercellular communication; Cellular senescence,"CANTOS, NEJM 2017 (n=10,061) — MACE HR 0.85; no all-cause mortality benefit; more fatal infections [https://doi.org/10.1056/NEJMoa1707914]",https://doi.org/10.1056/NEJMoa1707914
36,magnesium,Magnesium,supplement,Essential mineral / enzyme cofactor,human-cohort,60,62,40,88,62,B,Cofactor for 300+ enzymes incl. ATP metabolism and DNA repair; vascular/neuromuscular regulation,"Strong cohort evidence: each +100 mg/d dietary magnesium associated with ~10% lower all-cause mortality and lower heart-failure/stroke risk. But intake correlates with diet quality, and RCT benefit is concentrated in deficiency/hypertension.","All-cause mortality RR 0.90 (95% CI 0.81-0.99) per 100 mg/d dietary intake; stronger for T2D (RR 0.81, 95% CI 0.77-0.86) and stroke (RR 0.93, 95% CI 0.89-0.97) — Fang BMC Med 2016 cohort meta-analysis",Strong cohort; RCT benefits mainly in deficiency/hypertension,Very safe from food; supplements cause diarrhoea; caution in renal impairment,~300-400 mg/day elemental,OTC mineral,otc,Association partly reflects overall diet quality; limited benefit beyond adequacy,Genomic instability; Mitochondrial dysfunction; Chronic inflammation,"Fang et al., BMC Med 2016 — +100 mg/d: all-cause mortality -10%, HF -22% [https://link.springer.com/article/10.1186/s12916-016-0742-z]",https://link.springer.com/article/10.1186/s12916-016-0742-z
37,time-restricted-eating,Time-Restricted Eating,diet,Daily eating-window restriction,human-rct-surrogate,60,64,42,84,62,B,Aligns feeding with circadian rhythm and extends the overnight fast to lower insulin and trigger autophagy,"RCTs and meta-analyses show modest improvements in glucose, weight and BP, largely from incidental calorie reduction; head-to-head it roughly equals plain calorie restriction. A contested (non-peer-reviewed) 2024 analysis linked <8h windows to higher CV mortality.",Small weight/glucose/BP improvements; no demonstrated mortality benefit,Many short RCTs on surrogates; mortality data conflicting,"Generally well tolerated; caution with diabetes meds, eating disorders",6-10h daily eating window,Popular practice / investigational,lifestyle,Benefits largely explained by calorie reduction; one observational analysis suggests possible CV harm,Deregulated nutrient sensing; Altered intercellular communication; Disabled macroautophagy; Chronic inflammation,"Lowe et al., TREAT, JAMA IM 2020 — 16:8 gave no metabolic advantage over 3 meals/day [https://doi.org/10.1001/jamainternmed.2020.4153]",https://doi.org/10.1001/jamainternmed.2020.4153
38,intermittent-fasting,Intermittent Fasting (ADF / 5:2),diet,Intermittent energy restriction,human-rct-surrogate,60,64,42,82,62,B,"Recurrent fasts trigger ketogenic switch, autophagy and lowered insulin/IGF-1/mTOR","Network meta-analyses show all IF forms reduce weight and improve glucose/lipids vs usual diet (alternate-day often largest), but certainty is low and IF roughly equals continuous CR. Benefits appear driven by energy deficit; no hard outcomes.",~3-8% weight loss; improved insulin sensitivity comparable to CR,Numerous RCTs on surrogates; no hard-outcome trials,"Hunger, irritability; hypoglycaemia risk on glucose-lowering meds",5:2 or alternate-day (~25% intake),Popular practice,lifestyle,Effects largely attributable to calorie deficit; adherence drops; low evidence certainty,Deregulated nutrient sensing; Disabled macroautophagy; Chronic inflammation; Mitochondrial dysfunction,"Trepanowski et al., JAMA IM 2017 — ADF weight loss similar to daily CR, higher dropout [https://doi.org/10.1001/jamainternmed.2017.0936]",https://doi.org/10.1001/jamainternmed.2017.0936
39,colchicine,Colchicine (low-dose),pharma,Anti-inflammatory / NLRP3 inflammasome inhibitor,human-rct-hard,80,52,50,62,62,B,"Binds tubulin to block microtubule assembly, suppressing NLRP3 inflammasome activation and IL-1b/IL-18 release (targets 'inflammaging')","Two large double-blind RCTs (LoDoCo2 n=5,522; COLCOT n=4,745) show 0.5 mg/day cuts major CV events ~25-31% on top of statins, earning the first FDA approval (2023) of an anti-inflammatory drug for atherosclerotic CVD. But the benefit is non-fatal ischemic events only: NO reduction in CV or all-cause mortality, and pooled data show a significant excess of non-cardiovascular death.","~25-31% fewer major CV events (pooled OR 0.70, 95% CI 0.60-0.83); no mortality benefit",Strong hard-outcome RCT evidence for CV events; no survival benefit shown,Generally tolerated at 0.5 mg/day; signal of excess non-CV death; dangerous with CYP3A4/P-gp inhibitors and in renal/hepatic impairment,"0.5 mg orally once daily, added to standard secondary prevention",FDA-approved 2023 for CV risk reduction in ASCVD,rx,"Cuts non-fatal events only — no CV or all-cause mortality benefit, and a significant excess of non-cardiovascular deaths in pooled data",Chronic inflammation; Cellular senescence,"Nidorf et al. (LoDoCo2), NEJM 2020 — Primary CV composite HR 0.69 (95% CI 0.57-0.83); non-CV death HR 1.51 (0.99-2.31) [https://pubmed.ncbi.nlm.nih.gov/32865380/] | Akl et al. meta-analysis (8 RCTs, 12,151), 2024 — MACE OR 0.70 (95% CI 0.60-0.83); all-cause mortality OR 1.11 (NS); non-CV death OR 1.54 (1.10-2.15) [https://pmc.ncbi.nlm.nih.gov/articles/PMC10950412/]",https://pubmed.ncbi.nlm.nih.gov/32865380/ | https://pubmed.ncbi.nlm.nih.gov/31733140/
40,curcumin,Curcumin,botanical,Polyphenol (curcuminoid),human-rct-surrogate,60,62,38,84,61,B,"Pleiotropic anti-inflammatory/antioxidant; inhibits NF-kB/COX-2, modulates Nrf2/AMPK","Large RCT base shows reductions in CRP, IL-6 and TNF-a and OA pain relief comparable to NSAIDs with bioavailable formulations. No hard-outcome/lifespan data; dismal bioavailability of unformulated curcumin is the key limitation.",CRP reductions; OA pain relief comparable to NSAIDs (formulated),Robust RCT evidence for surrogate/symptomatic outcomes; no longevity endpoints,Very well tolerated; CYP inhibition; rare hepatotoxicity at high dose,500-2000 mg/day curcuminoids (bioavailable forms),Supplement / spice,otc,Unformulated curcumin is poorly absorbed; results hinge on formulation — but high-bioavailability/piperine forms are also those linked to a rising number of drug-induced liver-injury cases,Chronic inflammation; Altered intercellular communication; Cellular senescence,"Curcumin vs diclofenac OA, Trials 2019 — Comparable knee-OA pain relief with fewer GI effects [https://pubmed.ncbi.nlm.nih.gov/30975196/]",https://pubmed.ncbi.nlm.nih.gov/30975196/
41,aged-garlic-allicin,Aged Garlic Extract / Allicin,botanical,Organosulfur compounds,human-rct-surrogate,60,62,38,84,61,B,"NO-mediated vasodilation, modest lipid modulation, anti-inflammatory/antiplatelet effects","Among the better-evidenced botanicals for cardiovascular surrogates: meta-analyses show reductions in systolic BP (~2.5-4 mmHg) and LDL, strongest at >=1200 mg/day and in those with CVD. No powered hard-outcome RCT.",SBP -2.5-4 mmHg (up to ~10 in uncontrolled HTN); small LDL reductions,Consistent RCT/meta-analytic evidence for BP/lipids; no hard-outcome RCT,"Very safe; garlic odor, GI; antiplatelet (bleeding caution)",AGE >=1200 mg/day,Supplement / food,otc,Allicin is unstable; effects require adequate (>=1200 mg) dosing,Altered intercellular communication; Chronic inflammation; Mitochondrial dysfunction,"AGE BP/lipid meta-analysis 2025 (19 trials) — SBP -2.5 mmHg, LDL reductions; stronger in CVD [https://pubmed.ncbi.nlm.nih.gov/40628369/]",https://pubmed.ncbi.nlm.nih.gov/40628369/
42,green-tea-beverage,Green Tea (Whole Beverage),botanical,Polyphenol-rich beverage,human-cohort,60,62,40,86,61,B,"Antioxidant/anti-inflammatory polyphenols, endothelial NO support, modest metabolic effects","Whole-beverage tea has large cohort evidence for lower mortality: a 2024 meta-analysis (38 cohorts, ~1.96M) found highest intake associated with ~10% lower all-cause and ~14% lower CV mortality, plateauing ~2 cups/day. The pooled data cover all tea types (green in Asian, black in European cohorts), not green tea alone. Observational, but the strongest signal among these botanicals — and the beverage avoids EGCG-extract hepatotoxicity.",~10-15% lower all-cause/CV mortality at highest intake (associative),Strong cohort mortality association; no RCT proving causal lifespan extension,Very safe as a beverage; caffeine effects,~1.5-3 cups/day,Food/beverage,lifestyle,"Observational only; the meta-analysis pooled all tea types (not green-specific); benefit is from the beverage, not concentrated extracts",Chronic inflammation; Altered intercellular communication; Mitochondrial dysfunction,"Tea & mortality meta-analysis 2024 (38 cohorts) — All-cause HR 0.90, CVD HR 0.86 at highest intake [https://pmc.ncbi.nlm.nih.gov/articles/PMC11573487/]",https://pmc.ncbi.nlm.nih.gov/articles/PMC11573487/
43,blood-flow-restriction-training,Blood-Flow Restriction Training,therapy,Low-load resistance + occlusion,human-rct-surrogate,60,66,42,78,61,B,Partial venous occlusion during light-load exercise creates metabolic stress driving hypertrophy at low loads,"Meta-analyses show low-load BFR builds strength/hypertrophy comparable to heavy resistance training — valuable for frail/older or injured people who can't lift heavy. Muscle surrogates, not longevity; in some trained groups it is inferior to heavy lifting.",Hypertrophy/strength comparable to heavy lifting at ~20-40% 1RM,Robust RCT evidence for muscle; no aging/mortality data,"Generally safe done correctly; theoretical clot risk, discomfort, bruising","~20-40% 1RM, high reps, cuff ~40-80% occlusion",Established in rehab/strength training,otc,"An exercise method valuable for those who can't lift heavy, not a validated systemic anti-aging therapy",Stem cell exhaustion; Deregulated nutrient sensing; Altered intercellular communication,Sports Med Open 2024 meta-analysis — Low-load BFR matched high-load training for strength/hypertrophy [https://doi.org/10.1186/s40798-024-00719-3],https://doi.org/10.1186/s40798-024-00719-3
44,glucosamine,Glucosamine,supplement,Amino-monosaccharide,human-cohort,58,60,42,82,60,B,Cartilage substrate; proposed systemic anti-inflammatory / AMPK (CR-mimetic) effects,"Large cohorts (UK Biobank, ~495k) link regular glucosamine use to ~15% lower all-cause and ~18% lower CV mortality, with mouse data suggesting CR-mimetic effects. All longevity data are observational (healthy-user bias); a dedicated UK Biobank + Mendelian-randomization analysis found glucosamine associated with LOWER incident heart failure (HR ~0.87), so the earlier heart-failure concern is not supported.","All-cause mortality HR 0.85 (95% CI 0.82-0.89), ~15% lower, in regular users; CVD HR 0.82 (95% CI 0.74-0.90) — Li UK Biobank 2020 cohort association, n=495,077",Strong cohort associations; no RCT; HF link is protective in MR analysis,Very safe; mild GI; may slightly raise glucose,1500 mg/day,OTC (Rx in some EU countries),otc,All longevity data observational/healthy-user-confounded; no RCT for hard outcomes,Chronic inflammation; Deregulated nutrient sensing,"Li et al., Ann Rheum Dis 2020 (UK Biobank, ~495k) — All-cause mortality HR 0.85; CV HR 0.82 [https://pmc.ncbi.nlm.nih.gov/articles/PMC7286049/] | Ma et al., Mayo Clin Proc 2023 (UK Biobank + MR) — Glucosamine associated with LOWER incident heart failure (HR 0.87; MR HR 0.92) [https://pubmed.ncbi.nlm.nih.gov/37422736/]",https://pmc.ncbi.nlm.nih.gov/articles/PMC7286049/ | https://pubmed.ncbi.nlm.nih.gov/37422736/
